variant,scenario,cache,wallMs,userSeconds,systemSeconds,maxRssBytes,lintRequests,observedSpawns,nodeStarts,logBytes,exitCode,outcome
old,read,warm,665.7349170000002,0.19,0.04,119734272,1,4,6,114,0,timeout
candidate,read,warm,175.28049999999985,0.19,0.04,118587392,0,0,2,0,0,read
candidate,read,warm,153.4884159999997,0.18,0.04,118194176,0,0,2,0,0,read
old,read,warm,680.7330410000004,0.2,0.04,119586816,1,3,6,114,0,timeout
old,read,warm,665.6347919999998,0.2,0.04,119701504,1,3,6,114,0,timeout
candidate,read,warm,145.60195799999929,0.17,0.03,118210560,0,0,2,0,0,read
old,disabled,warm,150.27758300000005,0.17,0.03,118849536,0,0,2,111,0,disabled
candidate,disabled,warm,157.00370899999962,0.17,0.03,118456320,0,0,2,0,0,disabled
candidate,disabled,warm,158.6699579999995,0.17,0.03,118702080,0,0,2,0,0,disabled
old,disabled,warm,156.72483300000022,0.17,0.03,119062528,0,0,2,111,0,disabled
old,disabled,warm,151.4412080000002,0.17,0.03,119062528,0,0,2,111,0,disabled
candidate,disabled,warm,157.84220800000003,0.17,0.03,118456320,0,0,2,0,0,disabled
old,write,warm,652.7930840000008,0.17,0.03,119439360,1,3,6,114,0,timeout
candidate,write,warm,1441.7498330000017,1.76,0.27,445906944,1,3,7,0,0,diagnostic
candidate,write,warm,1495.207875,1.81,0.3,445071360,1,3,7,0,0,diagnostic
old,write,warm,655.5920420000002,0.17,0.04,119013376,1,3,6,114,0,timeout
old,write,warm,656.1158329999998,0.17,0.03,119521280,1,3,6,114,0,timeout
candidate,write,warm,1473.8568749999995,1.78,0.29,446365696,1,3,7,0,0,diagnostic
old,read,cold,633.0517920000002,0.16,0.02,99827712,1,5,6,114,0,timeout
candidate,read,cold,141.48608299999978,0.16,0.02,98435072,0,1,2,0,0,read
candidate,read,cold,136.68258400000013,0.15,0.02,99008512,0,1,2,0,0,read
old,read,cold,645.5942500000001,0.15,0.02,99729408,1,5,6,114,0,timeout
old,read,cold,644.4337919999998,0.15,0.02,99598336,1,5,6,114,0,timeout
candidate,read,cold,130.632708000001,0.16,0.02,99172352,0,1,2,0,0,read
old,disabled,cold,137.7548330000027,0.15,0.02,99598336,0,1,2,111,0,disabled
candidate,disabled,cold,143.43883299999652,0.15,0.02,98975744,0,1,2,0,0,disabled
candidate,disabled,cold,147.36220899999898,0.15,0.02,99123200,0,1,2,0,0,disabled
old,disabled,cold,166.79812500000116,0.17,0.02,99909632,0,1,2,111,0,disabled
old,disabled,cold,128.1107090000005,0.15,0.02,99450880,0,1,2,111,0,disabled
candidate,disabled,cold,144.99141600000075,0.15,0.02,99205120,0,1,2,0,0,disabled
old,write,cold,645.8158340000009,0.15,0.02,99581952,1,5,6,114,0,timeout
candidate,write,cold,1569.3956670000007,2.04,0.31,441958400,1,5,7,0,0,diagnostic
candidate,write,cold,1558.2636249999996,2.04,0.3,442105856,1,5,7,0,0,diagnostic
old,write,cold,646.3955830000014,0.15,0.02,99745792,1,5,6,114,0,timeout
old,write,cold,635.2462500000001,0.15,0.02,99581952,1,5,6,114,0,timeout
candidate,write,cold,1550.2698750000018,2.04,0.3,413417472,1,5,7,0,0,diagnostic
