variant,scenario,cache,wallMs,userSeconds,systemSeconds,maxRssBytes,lintRequests,observedSpawns,nodeStarts,logBytes,exitCode,outcome
old,read,warm,665.6632079999999,0.19,0.04,119717888,1,4,6,114,0,timeout
candidate,read,warm,169.25366699999995,0.19,0.03,119144448,0,0,2,0,0,skip
candidate,read,warm,199.00279199999977,0.19,0.04,119570432,0,0,2,0,0,skip
old,read,warm,660.7551250000001,0.19,0.04,119586816,1,3,6,114,0,timeout
old,read,warm,664.1009999999997,0.2,0.04,119537664,1,3,6,114,0,timeout
candidate,read,warm,195.6078749999997,0.18,0.03,119439360,0,0,2,0,0,skip
old,disabled,warm,155.5315410000003,0.17,0.03,119422976,0,0,2,111,0,skip
candidate,disabled,warm,155.80533400000058,0.17,0.03,118128640,0,0,2,0,0,skip
candidate,disabled,warm,146.59649999999965,0.17,0.03,118833152,0,0,2,0,0,skip
old,disabled,warm,156.3912909999999,0.17,0.03,119521280,0,0,2,111,0,skip
old,disabled,warm,155.93837500000063,0.17,0.03,119586816,0,0,2,111,0,skip
candidate,disabled,warm,160.00741599999947,0.17,0.03,118145024,0,0,2,0,0,skip
old,write,warm,658.8332499999997,0.18,0.03,119357440,1,3,6,114,0,timeout
candidate,write,warm,1244.3231660000001,1.29,0.22,316719104,1,3,7,0,0,diagnostic
candidate,write,warm,1244.1307500000003,1.29,0.23,307445760,1,3,7,0,0,diagnostic
old,write,warm,675.011625000001,0.2,0.04,121274368,1,3,6,114,0,timeout
old,write,warm,680.9159589999999,0.2,0.04,120291328,1,3,6,114,0,timeout
candidate,write,warm,1325.4875410000004,1.42,0.26,307740672,1,3,7,0,0,diagnostic
old,read,cold,649.7579999999998,0.16,0.02,99893248,1,5,6,114,0,timeout
candidate,read,cold,146.24625000000015,0.15,0.02,98893824,0,1,2,0,0,skip
candidate,read,cold,146.65008300000045,0.15,0.02,99074048,0,1,2,0,0,skip
old,read,cold,647.5092079999995,0.15,0.02,99876864,1,5,6,114,0,timeout
old,read,cold,650.1926670000012,0.15,0.02,99549184,1,5,6,114,0,timeout
candidate,read,cold,152.913958000001,0.15,0.02,98893824,0,1,2,0,0,skip
old,disabled,cold,139.88125000000036,0.14,0.02,99778560,0,1,2,111,0,skip
candidate,disabled,cold,142.39074999999866,0.15,0.02,99106816,0,1,2,0,0,skip
candidate,disabled,cold,136.88358300000073,0.15,0.02,99221504,0,1,2,0,0,skip
old,disabled,cold,145.10075000000143,0.15,0.02,99663872,0,1,2,111,0,skip
old,disabled,cold,146.23675000000003,0.15,0.02,99221504,0,1,2,111,0,skip
candidate,disabled,cold,149.67808400000285,0.15,0.02,98910208,0,1,2,0,0,skip
old,write,cold,645.356291,0.15,0.02,99811328,1,5,6,114,0,timeout
candidate,write,cold,1401.2980419999985,1.61,0.27,295813120,1,5,7,0,0,diagnostic
candidate,write,cold,1358.6218340000014,1.54,0.27,286310400,1,5,7,0,0,diagnostic
old,write,cold,643.905834000001,0.15,0.02,99516416,1,5,6,114,0,timeout
old,write,cold,647.538625000001,0.15,0.02,99827712,1,5,6,114,0,timeout
candidate,write,cold,1360.7612920000029,1.53,0.26,286408704,1,5,7,0,0,diagnostic
