variant,scenario,cache,wallMs,userSeconds,systemSeconds,maxRssBytes,lintRequests,observedSpawns,nodeStarts,logBytes,exitCode,outcome
old,read,warm,668.7840829999998,0.18,0.04,122093568,1,4,6,114,0,timeout
candidate,read,warm,169.79399999999987,0.18,0.04,121602048,0,0,2,0,0,skip
candidate,read,warm,171.73233299999993,0.19,0.04,121667584,0,0,2,0,0,skip
old,read,warm,663.1718329999999,0.18,0.04,122257408,1,3,6,114,0,timeout
old,read,warm,674.1877080000004,0.2,0.04,122421248,1,3,6,114,0,timeout
candidate,read,warm,171.35241700000006,0.19,0.04,121782272,0,0,2,0,0,skip
old,disabled,warm,170.13799999999992,0.18,0.04,121831424,0,0,2,111,0,skip
candidate,disabled,warm,168.31437499999993,0.18,0.04,121749504,0,0,2,0,0,skip
candidate,disabled,warm,167.72895899999912,0.18,0.04,121765888,0,0,2,0,0,skip
old,disabled,warm,167.3597090000003,0.18,0.04,122044416,0,0,2,111,0,skip
old,disabled,warm,166.2159590000001,0.18,0.04,122208256,0,0,2,111,0,skip
candidate,disabled,warm,162.85358300000007,0.18,0.03,120569856,0,0,2,0,0,skip
old,write,warm,666.1569170000002,0.18,0.04,121880576,1,3,6,114,0,timeout
candidate,write,warm,1159.2866670000003,1.18,0.2,295878656,1,3,7,0,0,diagnostic
candidate,write,warm,1136.9592920000014,1.2,0.21,295305216,1,3,7,0,0,diagnostic
old,write,warm,680.524875000001,0.2,0.04,122241024,1,3,6,114,0,timeout
old,write,warm,681.5112079999999,0.2,0.04,122454016,1,3,6,114,0,timeout
candidate,write,warm,1244.5264580000003,1.28,0.24,304758784,1,3,7,0,0,diagnostic
old,read,cold,643.1367499999997,0.16,0.02,99745792,1,5,6,114,0,timeout
candidate,read,cold,145.71875,0.15,0.02,99008512,0,1,2,0,0,skip
candidate,read,cold,148.02512500000012,0.15,0.02,98779136,0,1,2,0,0,skip
old,read,cold,653.1707500000011,0.15,0.02,99401728,1,5,6,114,0,timeout
old,read,cold,657.0452920000007,0.15,0.02,99827712,1,5,6,114,0,timeout
candidate,read,cold,140.0309159999997,0.15,0.02,99287040,0,1,2,0,0,skip
old,disabled,cold,138.3854169999995,0.15,0.02,99827712,0,1,2,111,0,skip
candidate,disabled,cold,145.63104100000055,0.15,0.02,98942976,0,1,2,0,0,skip
candidate,disabled,cold,146.0340410000008,0.15,0.02,99287040,0,1,2,0,0,skip
old,disabled,cold,142.14566699999887,0.14,0.02,99532800,0,1,2,111,0,skip
old,disabled,cold,143.46987499999886,0.15,0.02,99303424,0,1,2,111,0,skip
candidate,disabled,cold,144.5994159999991,0.15,0.02,99221504,0,1,2,0,0,skip
old,write,cold,643.5378330000021,0.15,0.02,99794944,1,5,6,114,0,timeout
candidate,write,cold,1179.3299579999984,1.29,0.19,272531456,1,5,7,0,0,diagnostic
candidate,write,cold,1190.7899169999982,1.32,0.2,273498112,1,5,7,0,0,diagnostic
old,write,cold,645.9015829999989,0.15,0.02,99745792,1,5,6,114,0,timeout
old,write,cold,635.8363329999993,0.15,0.02,99794944,1,5,6,114,0,timeout
candidate,write,cold,1188.9486670000006,1.29,0.19,273973248,1,5,7,0,0,diagnostic
