variant,scenario,cache,wallMs,userSeconds,systemSeconds,maxRssBytes,lintRequests,observedSpawns,nodeStarts,logBytes,exitCode,outcome
old,read,warm,797.951,0.31,0.1,179912704,1,3,6,114,0,timeout
candidate,read,warm,302.9316249999997,0.3,0.1,180387840,0,0,2,0,0,skip
candidate,read,warm,292.3744160000001,0.31,0.09,180584448,0,0,2,0,0,skip
old,read,warm,802.7045829999997,0.34,0.1,179470336,1,3,6,114,0,timeout
old,read,warm,787.1662920000008,0.28,0.09,178946048,1,3,6,114,0,timeout
candidate,read,warm,275.6167910000004,0.27,0.09,174735360,0,0,2,0,0,skip
old,disabled,warm,275.9989169999999,0.28,0.09,179306496,0,0,2,111,0,skip
candidate,disabled,warm,276.62866699999995,0.27,0.09,174899200,0,0,2,0,0,skip
candidate,disabled,warm,285.3617919999997,0.28,0.09,179601408,0,0,2,0,0,skip
old,disabled,warm,279.1429169999992,0.28,0.09,179322880,0,0,2,111,0,skip
old,disabled,warm,279.3134579999996,0.28,0.09,179290112,0,0,2,111,0,skip
candidate,disabled,warm,277.7138330000007,0.27,0.09,174620672,0,0,2,0,0,skip
old,write,warm,768.1483340000013,0.28,0.09,179470336,1,3,6,114,0,timeout
candidate,write,warm,1425.535167,1.43,0.3,322912256,1,3,7,0,0,diagnostic
candidate,write,warm,1436.4319160000014,1.42,0.3,320847872,1,3,7,0,0,diagnostic
old,write,warm,785.741,0.29,0.09,179961856,1,3,6,114,0,timeout
old,write,warm,784.3868330000005,0.28,0.09,179437568,1,3,6,114,0,timeout
candidate,write,warm,1424.962958,1.42,0.3,321585152,1,3,7,0,0,diagnostic
old,read,cold,640.5510420000028,0.16,0.02,99876864,1,5,6,114,0,timeout
candidate,read,cold,148.9997919999987,0.15,0.02,98631680,0,1,2,0,0,skip
candidate,read,cold,144.7937920000004,0.16,0.02,99483648,0,1,2,0,0,skip
old,read,cold,644.8730830000022,0.15,0.02,99483648,1,5,6,114,0,timeout
old,read,cold,647.0635409999995,0.15,0.02,99565568,1,5,6,114,0,timeout
candidate,read,cold,150.5069999999978,0.16,0.02,99123200,0,1,2,0,0,skip
old,disabled,cold,131.76883299999827,0.15,0.02,99368960,0,1,2,111,0,skip
candidate,disabled,cold,146.23470799999996,0.15,0.02,98942976,0,1,2,0,0,skip
candidate,disabled,cold,140.88783300000068,0.15,0.02,99041280,0,1,2,0,0,skip
old,disabled,cold,146.55358400000114,0.15,0.02,99549184,0,1,2,111,0,skip
old,disabled,cold,143.53620899999805,0.15,0.02,99762176,0,1,2,111,0,skip
candidate,disabled,cold,139.98204199999964,0.15,0.02,99155968,0,1,2,0,0,skip
old,write,cold,651.3573749999996,0.15,0.02,99549184,1,5,6,114,0,timeout
candidate,write,cold,1142.9015839999993,1.28,0.19,260620288,1,5,7,0,0,diagnostic
candidate,write,cold,1153.069625,1.28,0.18,261865472,1,5,7,0,0,diagnostic
old,write,cold,642.7950000000019,0.15,0.02,99418112,1,5,6,114,0,timeout
old,write,cold,647.7541249999995,0.15,0.02,99598336,1,5,6,114,0,timeout
candidate,write,cold,1206.590583000001,1.36,0.21,260227072,1,5,7,0,0,diagnostic
