probe,scenario,variant,wall_ms,exit_code
initial,help,tsx,878.094542,0
initial,help,compiled,273.6515409999997,0
initial,help,compiled,282.0101249999998,0
initial,help,tsx,846.4593749999995,0
initial,help,tsx,854.0287090000002,0
initial,help,compiled,286.9304579999998,0
initial,help,compiled,286.41216599999916,0
initial,help,tsx,884.5008330000001,0
initial,help,tsx,906.2098750000005,0
initial,help,compiled,294.511708,0
initial,lint,tsx,1410.1977079999997,1
initial,lint,compiled,843.7917500000003,1
initial,lint,compiled,839.8381250000002,1
initial,lint,tsx,1444.7393339999999,1
initial,lint,tsx,1422.634250000001,1
initial,lint,compiled,872.9336669999993,1
initial,lint,compiled,849.8316670000022,1
initial,lint,tsx,1593.7473339999997,1
initial,lint,tsx,1511.3241669999989,1
initial,lint,compiled,844.6684160000004,1
local-biome,help,tsx,890.3559579999999,0
local-biome,help,compiled,297.0337499999996,0
local-biome,help,compiled,284.43062499999996,0
local-biome,help,tsx,889.1155420000005,0
local-biome,help,tsx,964.030667,0
local-biome,help,compiled,317.0839590000005,0
local-biome,help,compiled,295.298041,0
local-biome,help,tsx,893.068792,0
local-biome,help,tsx,856.2530830000005,0
local-biome,help,compiled,270.81924999999956,0
local-biome,lint,tsx,990.2646249999998,1
local-biome,lint,compiled,416.2872500000012,1
local-biome,lint,compiled,410.8555840000008,1
local-biome,lint,tsx,965.7912079999987,1
local-biome,lint,tsx,979.0050420000007,1
local-biome,lint,compiled,396.3415420000001,1
local-biome,lint,compiled,412.55141600000024,1
local-biome,lint,tsx,985.9694999999992,1
local-biome,lint,tsx,966.0904169999994,1
local-biome,lint,compiled,419.4172500000004,1
