variant,scenario,cache,wallMs,userSeconds,systemSeconds,maxRssBytes,lintRequests,observedSpawns,nodeStarts,logBytes,exitCode,outcome
old,read,warm,658.9453329999999,0.19,0.04,115752960,1,4,6,114,0,timeout
candidate,read,warm,162.38162499999999,0.18,0.03,115163136,0,0,2,0,0,read
candidate,read,warm,170.30908399999998,0.19,0.03,115605504,0,0,2,0,0,read
old,read,warm,652.300416,0.19,0.03,118423552,1,3,6,114,0,timeout
old,read,warm,669.093875,0.2,0.04,119357440,1,3,6,114,0,timeout
candidate,read,warm,154.45250000000033,0.17,0.03,118210560,0,0,2,0,0,read
candidate,read,warm,148.31566699999985,0.18,0.03,117456896,0,0,2,0,0,read
old,read,warm,659.3942500000003,0.17,0.03,115654656,1,3,6,114,0,timeout
old,read,warm,658.3633749999999,0.17,0.03,117719040,1,3,6,114,0,timeout
candidate,read,warm,148.1050409999998,0.17,0.03,117424128,0,0,2,0,0,read
candidate,read,warm,153.2996659999999,0.17,0.03,115212288,0,0,2,0,0,read
old,read,warm,657.6434589999999,0.17,0.03,115490816,1,3,6,114,0,timeout
old,read,warm,661.2235000000001,0.2,0.03,116178944,1,3,6,114,0,timeout
candidate,read,warm,158.85725000000002,0.17,0.03,115048448,0,0,2,0,0,read
candidate,read,warm,155.26408400000037,0.17,0.03,114819072,0,0,2,0,0,read
old,read,warm,660.1010409999999,0.17,0.03,117866496,1,3,6,114,0,timeout
old,read,warm,658.0488329999998,0.17,0.03,115507200,1,3,6,114,0,timeout
candidate,read,warm,153.60216700000092,0.17,0.03,115408896,0,0,2,0,0,read
candidate,read,warm,155.4720839999991,0.17,0.03,115425280,0,0,2,0,0,read
old,read,warm,658.1638329999987,0.17,0.03,115916800,1,3,6,114,0,timeout
old,read,warm,660.6966659999998,0.17,0.03,115441664,1,3,6,114,0,timeout
candidate,read,warm,153.73279199999888,0.17,0.03,117358592,0,0,2,0,0,read
candidate,read,warm,154.0452499999992,0.17,0.03,117391360,0,0,2,0,0,read
old,read,warm,660.2137500000008,0.17,0.03,118128640,1,3,6,114,0,timeout
old,read,warm,660.1117909999994,0.17,0.03,115539968,1,3,6,114,0,timeout
candidate,read,warm,155.14799999999923,0.17,0.03,115097600,0,0,2,0,0,read
candidate,read,warm,155.0024169999997,0.17,0.03,115310592,0,0,2,0,0,read
old,read,warm,646.3091250000016,0.17,0.03,115245056,1,3,6,114,0,timeout
old,read,warm,663.4188749999994,0.18,0.03,118030336,1,3,6,114,0,timeout
candidate,read,warm,175.69737499999974,0.19,0.03,117391360,0,0,2,0,0,read
candidate,read,warm,146.34079100000054,0.19,0.03,117768192,0,0,2,0,0,read
old,read,warm,662.549583,0.18,0.03,115343360,1,3,6,114,0,timeout
old,read,warm,656.6933750000007,0.18,0.03,115818496,1,3,6,114,0,timeout
candidate,read,warm,150.13383299999987,0.19,0.03,117374976,0,0,2,0,0,read
candidate,read,warm,153.4838749999999,0.19,0.03,117374976,0,0,2,0,0,read
old,read,warm,668.0970830000006,0.18,0.03,115736576,1,3,6,114,0,timeout
old,read,warm,661.1817080000019,0.17,0.03,115425280,1,3,6,114,0,timeout
candidate,read,warm,154.32970799999748,0.17,0.03,115343360,0,0,2,0,0,read
candidate,read,warm,155.56379200000083,0.17,0.03,114819072,0,0,2,0,0,read
old,read,warm,654.0521249999983,0.17,0.03,115638272,1,3,6,114,0,timeout
old,read,warm,657.5957080000007,0.17,0.03,115867648,1,3,6,114,0,timeout
candidate,read,warm,158.06262499999866,0.17,0.03,115195904,0,0,2,0,0,read
candidate,read,warm,154.7237079999977,0.17,0.03,115228672,0,0,2,0,0,read
old,read,warm,663.6768340000017,0.17,0.03,118161408,1,3,6,114,0,timeout
old,read,warm,659.8064169999998,0.17,0.03,117981184,1,3,6,114,0,timeout
candidate,read,warm,157.16058300000077,0.17,0.03,117489664,0,0,2,0,0,read
candidate,read,warm,154.28087499999674,0.17,0.03,115490816,0,0,2,0,0,read
old,read,warm,659.6263749999998,0.17,0.03,115687424,1,3,6,114,0,timeout
old,read,warm,658.6004580000008,0.18,0.03,115589120,1,3,6,114,0,timeout
candidate,read,warm,157.74754199999734,0.17,0.03,115113984,0,0,2,0,0,read
candidate,read,warm,159.16949999999997,0.17,0.03,115261440,0,0,2,0,0,read
old,read,warm,659.190416999998,0.17,0.03,118030336,1,3,6,114,0,timeout
old,read,warm,644.6725000000006,0.17,0.03,115589120,1,3,6,114,0,timeout
candidate,read,warm,157.88054199999897,0.17,0.03,116047872,0,0,2,0,0,read
candidate,read,warm,152.59620799999902,0.17,0.03,115081216,0,0,2,0,0,read
old,read,warm,656.5871249999982,0.17,0.03,117932032,1,3,6,114,0,timeout
old,read,warm,659.088499999998,0.17,0.03,117981184,1,3,6,114,0,timeout
candidate,read,warm,147.21029199999975,0.17,0.03,117260288,0,0,2,0,0,read
candidate,read,warm,159.80975000000035,0.17,0.03,117768192,0,0,2,0,0,read
old,read,warm,645.2968340000007,0.17,0.03,117702656,1,3,6,114,0,timeout
old,disabled,warm,150.62133299999914,0.17,0.03,115179520,0,0,2,111,0,disabled
candidate,disabled,warm,151.3220840000031,0.17,0.03,116375552,0,0,2,0,0,disabled
candidate,disabled,warm,153.2151670000021,0.17,0.03,115212288,0,0,2,0,0,disabled
old,disabled,warm,154.02404100000058,0.17,0.03,118079488,0,0,2,111,0,disabled
old,disabled,warm,155.9841669999987,0.17,0.03,117719040,0,0,2,111,0,disabled
candidate,disabled,warm,154.08820800000103,0.17,0.03,115130368,0,0,2,0,0,disabled
